species,scenario_id,source,baseline_mean,baseline_sd
ACADIAN REDFISH,ACADIAN REDFISH_Survey_0_100,Survey_0_100,0,0
ACADIAN REDFISH,ACADIAN REDFISH_Survey_10_90,Survey_10_90,-0.2895322698492517,8.552507150203772
ALEWIFE,ALEWIFE_Lit_Lethal_1,Lit_Lethal_1,0,0
ALEWIFE,ALEWIFE_Lit_Opt_1,Lit_Opt_1,9.322979703106082,9.939367216240496
ALEWIFE,ALEWIFE_Survey_0_100,Survey_0_100,0,0
ALEWIFE,ALEWIFE_Survey_10_90,Survey_10_90,-5.331507210368021,6.0380610491922795
AMERICAN PLAICE,AMERICAN PLAICE_Survey_0_100,Survey_0_100,0,0
AMERICAN PLAICE,AMERICAN PLAICE_Survey_10_90,Survey_10_90,-5.055423487407882,5.822079016736213
AMERICAN SHAD,AMERICAN SHAD_Survey_0_100,Survey_0_100,0,0
AMERICAN SHAD,AMERICAN SHAD_Survey_10_90,Survey_10_90,-2.646692748183091,7.839940181010398
ATLANTIC COD,ATLANTIC COD_Lit_Opt_1,Lit_Opt_1,-0.4216354901373752,4.824290999198693
ATLANTIC COD,ATLANTIC COD_Survey_0_100,Survey_0_100,-1.849970912341329e-6,7.696847924871805e-6
ATLANTIC COD,ATLANTIC COD_Survey_10_90,Survey_10_90,0.7495521287309596,5.139680472891892
ATLANTIC CROAKER,ATLANTIC CROAKER_Survey_0_100,Survey_0_100,-4.490600081707455,6.1213767116207105
ATLANTIC CROAKER,ATLANTIC CROAKER_Survey_10_90,Survey_10_90,-3.643513997871592,14.5081563568337
ATLANTIC HALIBUT,ATLANTIC HALIBUT_Survey_0_100,Survey_0_100,-7.99155127652303e-4,0.004377152903610869
ATLANTIC HALIBUT,ATLANTIC HALIBUT_Survey_10_90,Survey_10_90,5.1768460054922185,9.041597344110468
ATLANTIC HERRING,ATLANTIC HERRING_Survey_0_100,Survey_0_100,0,0
ATLANTIC HERRING,ATLANTIC HERRING_Survey_10_90,Survey_10_90,-5.726633937664704,6.08975926416616
ATLANTIC MACKEREL,ATLANTIC MACKEREL_Survey_0_100,Survey_0_100,0,0
ATLANTIC MACKEREL,ATLANTIC MACKEREL_Survey_10_90,Survey_10_90,1.1121844063902901,11.189091934505342
ATLANTIC SURFCLAM,ATLANTIC SURFCLAM_Lit_Opt_1,Lit_Opt_1,2.2052267314638656,10.078860611541602
ATLANTIC SURFCLAM,ATLANTIC SURFCLAM_Survey_0_100,Survey_0_100,0.24909464285376354,2.1197409284980724
ATLANTIC SURFCLAM,ATLANTIC SURFCLAM_Survey_10_90,Survey_10_90,-4.7793324347136235,8.968216023681878
BARNDOOR SKATE,BARNDOOR SKATE_Survey_0_100,Survey_0_100,0.0536569376303864,0.20277576321391394
BARNDOOR SKATE,BARNDOOR SKATE_Survey_10_90,Survey_10_90,-0.0518312631719836,11.161145180001137
BLACK SEA BASS,BLACK SEA BASS_Lit_Opt_1,Lit_Opt_1,8.740124006267973,10.051828670042955
BLACK SEA BASS,BLACK SEA BASS_Survey_0_100,Survey_0_100,-0.3593626977851675,0.5971902220145185
BLACK SEA BASS,BLACK SEA BASS_Survey_10_90,Survey_10_90,11.845258566219194,12.468801177294559
BLUEBACK HERRING,BLUEBACK HERRING_Survey_0_100,Survey_0_100,0,0
BLUEBACK HERRING,BLUEBACK HERRING_Survey_10_90,Survey_10_90,-6.867651458336584,7.088047310202284
BLUEFISH,BLUEFISH_Lit_Stress_1,Lit_Stress_1,14.633308635536883,17.665450115322848
BLUEFISH,BLUEFISH_Survey_0_100,Survey_0_100,7.0812113783898685,4.674459462533043
BLUEFISH,BLUEFISH_Survey_10_90,Survey_10_90,3.6034525241386297,12.067386886812107
BUTTERFISH,BUTTERFISH_Survey_0_100,Survey_0_100,0,0
BUTTERFISH,BUTTERFISH_Survey_10_90,Survey_10_90,10.562702264764035,16.60078474988588
CLEARNOSE SKATE,CLEARNOSE SKATE_Lit_Opt_1,Lit_Opt_1,-0.3714121153311053,3.189313345384608
CLEARNOSE SKATE,CLEARNOSE SKATE_Survey_0_100,Survey_0_100,-0.043614181856541735,0.0651295561822191
CLEARNOSE SKATE,CLEARNOSE SKATE_Survey_10_90,Survey_10_90,0.08914678639319652,13.938014160727512
"CRAB,RED DEEPSEA","CRAB,RED DEEPSEA_Survey_0_100",Survey_0_100,-0.8541992345520588,1.7208342876883391
"CRAB,RED DEEPSEA","CRAB,RED DEEPSEA_Survey_10_90",Survey_10_90,22.90066236901679,36.036307040519034
GOOSEFISH,GOOSEFISH_Survey_0_100,Survey_0_100,-0.0016300525459243425,0.00688242880881949
