Scientific.Name,Temp_Obs_Min,Temp_Obs_Mean,Temp_Obs_Max,Temp_Stress_Min,Temp_Stress_Max,Temp_Lethal_Min,Temp_Lethal_Mean,Temp_Lethal_Max,temp_threshold,Salinity_Obs_Min,Salinity_Obs_Mean,Salinity_Obs_Max,Salinity_Stress_Min,Salinity_Stress_Max,Salinity_Lethal_Min,Salinity_Lethal_Max,sal_threshold
Myzopetta ferruginea,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Pomatomus saltatrix,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
Raja eglanteria,1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1
Brevoortia tyrannus,1,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,1
Pleuronectes americanus,1,1,1,2,2,1,0,1,4,0,0,0,0,0,0,1,1
Anguilla rostrata,2,4,1,1,0,1,0,1,6,1,0,0,0,0,0,0,1
Sciaenops octellatus,2,2,1,1,2,1,0,4,7,0,1,0,0,0,1,0,1
Arctica islandica,2,1,1,1,1,0,0,0,2,2,0,1,0,0,0,0,2
Cynoscion regalis,2,0,2,1,1,2,0,0,3,1,1,2,0,0,0,0,2
Leiostomus xanthurus,0,0,0,1,1,1,0,2,3,1,0,1,1,1,0,0,2
Paralichthys dentatus,3,1,3,0,1,2,0,1,5,2,0,2,0,0,0,0,2
Alosa pseudoharengus,4,0,4,2,0,4,0,3,7,2,0,2,0,0,0,2,2
Spisula solidissima,3,4,4,3,2,2,0,1,10,1,1,1,0,0,0,0,2
Homarus americanus,5,1,6,1,5,4,1,6,13,1,0,1,0,0,1,1,2
Salmo salar,5,3,6,8,8,2,1,11,24,0,2,0,0,1,0,0,2
Alosa aestivalis,1,1,1,0,0,1,0,1,2,2,0,2,1,1,0,2,3
Anarhichas lupus,4,1,4,1,2,0,0,1,6,3,0,3,0,0,0,1,3
Pseudopleuronectes americanus,3,1,3,3,3,1,0,3,6,2,0,2,0,0,0,1,3
Melanogrammus aeglefinus,4,4,2,2,0,0,0,1,7,1,2,1,1,1,0,0,3
Placopecten magellanicus,3,1,6,2,1,2,0,1,7,2,0,1,1,1,1,0,3
Gadus morhua,13,9,14,5,8,3,3,6,25,2,0,2,1,0,0,0,3
Micropoginias undulatus,2,5,1,1,1,2,0,1,9,4,0,4,0,0,0,0,4
Squalus acanthias,9,5,8,2,2,0,0,1,12,4,3,4,0,0,0,0,4
Alosa sapidissima,0,1,1,2,1,3,1,3,5,2,0,2,2,2,1,2,5
Hippoglossus hippoglossus,7,7,7,2,3,0,0,1,13,3,0,4,1,0,1,2,5
Morone saxatilis,5,2,5,1,2,2,0,3,10,3,2,3,1,3,1,1,6
Cynoscion nebulosus,4,0,3,4,0,3,0,2,7,2,1,1,3,2,4,3,7
Centropristis striata,7,5,5,1,1,4,0,4,12,7,3,4,1,1,3,0,9
caulolatilus microps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doryteuthis pealeii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merluccius bilinearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peprilus triacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scomberomorus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sebastes fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urophycis chuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urophycis tenuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zoarces americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illex illecebrosus,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Leucoraja erinacea,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leucoraja garmani,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leucoraja ocellata,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lophius americanus,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lopholatilus chamaeleonticeps,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malacoraja senta,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Merluccius albidus,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pollachius virens,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stenotomus chrysops,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dipturus laevis,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Hippoglossoides platessoides,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Scophthalmus aquosus,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Tautoga onitis,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Amblyraja radiata,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Clupea harengus,2,2,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0
Glyptocephalus cynoglossus,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Scomber scombrus,7,2,6,1,1,2,0,2,8,0,0,0,0,0,0,0,0
Pandalus borealis,7,1,8,0,3,2,0,1,9,0,0,0,0,0,0,0,0
